Carbon concentration (ppm),Silicon concentration (ppm),Manganese concentration (ppm),Sulphur concentration (ppm),Phosphorus concentration (ppm),Nickel concentration (ppm),Chromium concentration (ppm),Molybdenum concentration (ppm),Vanadium concentration (ppm),Copper concentration (ppm),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
370.0,3000.0,6500.0,80.0,120.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,392.0,466.0,31.9,80.6,,
370.0,3000.0,6500.0,80.0,120.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-28.0,100.0
370.0,3000.0,6500.0,80.0,120.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,370.0,456.0,35.2,80.6,-38.0,100.0
370.0,3100.0,10300.0,70.0,140.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,413.0,498.0,31.2,80.6,,
370.0,3100.0,10300.0,70.0,140.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-48.0,100.0
370.0,3100.0,10300.0,70.0,140.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,402.0,490.0,31.0,80.6,-44.0,100.0
440.0,3500.0,14300.0,70.0,140.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,468.0,551.0,29.4,78.7,,
440.0,3500.0,14300.0,70.0,140.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-53.0,100.0
440.0,3500.0,14300.0,70.0,140.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,436.0,529.0,31.6,78.8,-58.0,100.0
450.0,3300.0,18500.0,70.0,160.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,514.0,588.0,28.0,76.8,,
450.0,3300.0,18500.0,70.0,160.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,-38.0,100.0
450.0,3300.0,18500.0,70.0,160.0,0.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,479.0,576.0,27.4,76.9,-40.0,100.0
390.0,3200.0,6600.0,60.0,110.0,5300.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,411.0,484.0,32.6,79.3,,
390.0,3200.0,6600.0,60.0,110.0,5300.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,401.0,475.0,34.2,80.6,,
410.0,3300.0,10100.0,60.0,110.0,4900.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,464.0,522.0,29.6,77.8,,
410.0,3300.0,10100.0,60.0,110.0,4900.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,,
410.0,3300.0,10100.0,60.0,110.0,4900.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,426.0,506.0,31.6,79.7,,
510.0,3200.0,14000.0,70.0,140.0,4700.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,509.0,568.0,28.6,76.9,,
510.0,3200.0,14000.0,70.0,140.0,4700.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,580.0,2.0,450.0,536.0,28.2,78.8,,
490.0,3300.0,18500.0,60.0,140.0,5100.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,250.0,14.0,547.0,618.0,26.0,74.9,,
490.0,3300.0,18500.0,60.0,140.0,5100.0,,,,,,,,,,,170.0,21.0,0.0,1,1.0,200.0,0,0.0,0.0,,,,,,
