Carbon concentration (ppm),Silicon concentration (ppm),Manganese concentration (ppm),Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Sulphur concentration (ppm),Phosphorus concentration (ppm),Oxygen concentration (ppm),Nitrogen concentration (ppm),Current (A),Voltage (V),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),AC or DC,Electrode positive or negative,Nickel concentration (ppm),Chromium concentration (ppm),Molybdenum concentration (ppm),Vanadium concentration (ppm),Copper concentration (ppm),Titanium concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J)
0.2933333333333333,0.5111111111111112,0.0780141843971631,0.1052631578947368,0.0,0,0.4375,0.073170731707317,0.8644067796610169,0.1939655172413793,0.0,0.0,0.0,0.0,0.0,1.0,0.6341509271406032,0.1310622424281156,0.3964169985098265,0.3685044509622911,0.3267819456026852,0.2348695565701675,0.4027084201679213,0.503464068401172,0.3439267680389002,0.4347388394600409,0.4824536450053127,0.4552672473961046,0.4701822312788248,0.4644328630789491,0.4097307128247254
0.1,0.4444444444444445,0.3191489361702128,0.1052631578947368,0.0,0,0.3125,0.1951219512195121,0.7146892655367232,0.2456896551724138,0.0,0.0,0.0,0.0,0.0,1.0,0.5322864288065228,0.3216865119146346,0.7664721007241742,0.4964105184819522,0.3158676852629873,0.3556086508409082,0.4196647929490801,0.6596625122501791,0.5945321522000697,0.3550010487000937,0.4494910966410455,0.4755634814376431,0.3812317340082547,0.4859394703854439,0.4097307128247254
0.3133333333333333,0.4222222222222223,0.574468085106383,0.1052631578947368,0.0,0,0.3125,0.024390243902439,0.7146892655367232,0.2543103448275862,0.0,0.0,0.0,0.0,0.0,1.0,0.8607605645208058,0.3202274455620216,0.4365854033175457,0.3682785133776622,0.4043620923374411,0.2905829383733107,0.4027084201679213,0.503464068401172,0.3445962305204932,0.2449149688295763,0.2119706160854699,0.725595771637649,0.7709017652942092,0.3515231747198516,0.4097307128247254
0.1,0.4222222222222223,0.6170212765957446,0.1052631578947368,0.0,0,0.1875,0.073170731707317,0.7146892655367232,0.2456896551724138,0.0,0.0,0.763157894736842,0.0833333333333333,0.0,1.0,0.4294542609757385,0.2440824814840551,0.2587977316153764,0.3273619565702332,0.2591053758960424,0.3050128012626119,0.3475876048943626,0.4906611790547686,0.3129455116546905,0.3371702352024355,0.340422367998533,0.6404277105422815,0.639579812028535,0.3353932192399805,0.2374919093634043
0.32,0.4222222222222223,0.8723404255319148,0.1052631578947368,0.0,0,0.3125,0.048780487804878,0.7090395480225988,0.3146551724137931,0.0,0.0,0.3289473684210526,0.5833333333333333,0.0,1.0,0.3564556610176248,0.2094980622991381,0.0053007525055733,0.3685044509622911,0.41982336912049,0.2868687129197678,0.4027084201679213,0.503464068401172,0.3439267680389002,0.447232661023717,0.4429612182752365,0.5869810559716385,0.5228466412411539,0.7828488395018545,0.6115372675650295
0.3066666666666666,0.288888888888889,0.851063829787234,0.1052631578947368,0.0,0,0.1875,0.0975609756097561,0.6751412429378532,0.2801724137931035,0.0,0.0,0.0,0.0,0.0,1.0,0.2016296678549855,0.3423754643034837,0.5762903252948124,0.5040670017396167,0.4249614771952766,0.2664404729252819,0.4027084201679213,0.503464068401172,0.3439267680389002,0.5633429677628226,0.4898696096714739,0.4847374748029812,0.6435777174731268,0.3676531301997227,0.4097307128247254
0.2933333333333333,0.4444444444444445,0.6950354609929078,0.1052631578947368,0.0,0,0.25,0.048780487804878,0.5903954802259888,0.2931034482758621,0.0,0.0,0.0,0.0,0.0,1.0,0.5818544867651101,0.2956008063869451,0.3870730795949543,0.2606834652546302,0.2974478255111012,0.4038668147063683,0.4050417721648139,0.5841489797430768,0.4257780329277147,0.3461368652757983,0.3211005968760841,0.6845035490727502,0.711741844829191,0.432172952119207,0.4097307128247254
0.2600000000000001,0.7333333333333335,0.595744680851064,0.1052631578947368,0.0,0,0.1875,0.0975609756097561,0.5875706214689265,0.0991379310344827,0.0,0.0,0.0,0.0,0.0,1.0,0.3476339803464447,0.3689138346156426,0.556451221300948,0.5975202175725738,0.3230015423948364,0.3370107565425966,0.6165990198830699,0.5151793290069691,0.4530053894790384,0.7228781332287519,0.6300986112221807,0.3498392655567052,0.5435352644202456,0.3837830856795937,0.4097307128247254
0.0666666666666666,0.4666666666666668,0.0567375886524822,0.1052631578947368,0.0,0,0.25,0.1463414634146341,0.7146892655367232,0.2456896551724138,0.0,0.0,0.0,0.0,0.0,1.0,0.1467695936977985,0.2824391157699573,0.1875853529969463,0.4418713674786944,0.5252943507864838,0.2287509725874252,0.559685128135336,0.4299183411617377,0.2546696384944221,0.3011961770634093,0.3119966875112691,0.6177008080444426,0.7023009605516486,0.6203557660510363,0.4097307128247254
0.2533333333333333,0.5333333333333334,0.7375886524822696,0.1052631578947368,0.0,0,0.25,0.1463414634146341,0.6497175141242937,0.2974137931034483,0.0219780219780219,0.2537080405932865,0.3289473684210526,0.5833333333333333,0.0,1.0,0.6061030451024211,0.4075672570903829,0.4574792249573423,0.3731813454493798,0.3545524656997747,0.4646358247973688,0.5169001975679395,0.3955267666456166,0.4496481713962756,0.439553887129209,0.4399890776875059,0.5772634824133398,0.6071539312542624,0.7076947519254184,0.5442243525880285
