AC or DC,Aluminium concentration (%),Boron concentration (%),Carbon concentration (weight%),Chromium concentration (weight%),Copper concentration (weight%),Current (A),Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Manganese concentration (weight%),Molybdenum concentration (weight%),Nickel concentration (weight%),Niobium concentration (%),Nitrogen concentration (%),Oxygen concentration (%),Phosphorus concentration (weight%),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Silicon concentration (weight%),Sulphur concentration (weight%),Titanium concentration (%),Type of weld,Vanadium concentration (weight%),Voltage (V),cluster
0.0,0.0296203254399932,0.0017385908040584,0.037,1.358306689377657,0.1836071102106993,170.0,1.0,1.0,200.0,0.65,0.8700498999863786,0.0,0.0078692306400687,0.0082,0.0421,0.012,250.0,14.0,0.3,0.008,0.0170157749600125,0.0,0.018,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.007,0.000164323765317,0.037,2.670651936888528,0.0252291603405294,170.0,1.0,1.0,200.0,0.65,0.8620299682331585,0.0,0.0078692306400687,0.0082,0.0421,0.012,580.0,2.0,0.3,0.008,0.0039435183209651,0.0,0.0475542410308455,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.007,0.0007737474008898,0.037,1.1887762043897423,0.0830941423361074,170.0,1.0,1.0,200.0,1.03,0.5029503827954327,0.0,0.0039008858179055,0.0082,0.0421,0.014,250.0,14.0,0.31,0.007,0.0054954546866998,0.0,0.018,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0054074275632372,0.0013179098027325,0.037,4.024309301817642,0.0830941423361074,170.0,1.0,1.0,200.0,1.03,0.2292139244293487,0.0,0.0120045195150614,0.0082,0.0421,0.014,580.0,2.0,0.31,0.007,0.0022467492237089,0.0,0.1000367853338367,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0065523001807418,0.001786262646333,0.044,5.928738950497272,0.0830941423361074,170.0,1.0,1.0,200.0,1.43,0.4501286483080999,0.0,0.0048833843176428,0.0082,0.0421,0.014,250.0,14.0,0.35,0.007,0.0134824747695902,0.0,0.1587862612017144,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.010469786777307,0.001406357593336,0.044,1.703456330775548,0.341084094610793,170.0,1.0,1.0,200.0,1.43,0.2367194530710541,0.0,0.0184128534697531,0.0082,0.0421,0.014,580.0,2.0,0.35,0.007,0.004039383185956,0.0,0.0313495188899692,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0011033297721074,0.0004424693603825,0.045,0.6157584760306268,0.0830941423361074,170.0,1.0,1.0,200.0,1.85,0.2921529301480617,0.0,0.0078692306400687,0.0082,0.0421,0.016,250.0,14.0,0.33,0.007,0.0059729219396102,0.0,0.0327177845208291,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0200177753950656,0.0019132329921741,0.045,0.4262326576480761,0.2811364916100531,170.0,1.0,1.0,200.0,1.85,0.527410519172415,0.0,0.0102221642194793,0.0082,0.0421,0.016,580.0,2.0,0.33,0.007,0.0275618103303127,0.0,0.0366601394693777,21.0,ResistanceIntermediaire/DuctiliteIntermediaire
0.0,0.0362745740926681,0.0013857203981352,0.039,1.358306689377657,0.3542115860008437,170.0,1.0,1.0,200.0,0.66,0.4724704287225336,0.53,0.008883020522101,0.0082,0.0421,0.011,250.0,14.0,0.32,0.006,0.0153400321769372,0.0,0.018,21.0,MoindreResistance/MeilleurDuctilite
0.0,0.0153333952676055,0.0015232311074595,0.039,0.8501564932297729,0.0259140807135158,170.0,1.0,1.0,200.0,0.66,0.0131964762052741,0.53,0.0220934748052962,0.0082,0.0421,0.011,580.0,2.0,0.32,0.006,0.0111683033502907,0.0,0.1306986260814636,21.0,MoindreResistance/MeilleurDuctilite
