Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),target
0.09,0.2,1.25,0.011,0.022,0.069,0.0082,150.0,37.5,1.0,300.0,690.0,3.0,1.7191156462187656,2.4,0.9,0.1741890850199949,0.1489930241811674,0.0221136660294022,0.0515918216469419,0.0028292589811145,0.0432312274346899,0.0,1.0,0.0,594.0,680.0,20.0,66.0,,,231.0,1
0.077,0.28,1.79,0.007,0.006,0.0439,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.2128340265879234,1.5938027901715168,0.1411699458666395,0.0005,0.0830941423361074,0.0007,0.0005,0.0005,0.0005,0.0,1.0,0.0,,,,,-5.0,100.0,,0
0.076,0.33,1.48,0.007,0.006,0.04,0.0082,170.0,21.0,1.0,150.0,580.0,2.0,0.872590567945985,4.110261934849846,0.1214590110340183,0.0853291743731857,0.35,0.004,0.0029832909362733,0.0012856188059185,0.0317878399906585,0.0,1.0,0.0,482.0,572.0,28.2,77.9,,,,1
0.069,0.45,1.36,0.005,0.008,0.0374,0.0044,170.0,21.0,1.0,200.0,0.0,0.0,2.0792811398660245,0.1744119656776976,0.4724704287225336,0.1555341694224927,0.5448458023195917,0.0063,0.028,0.0018164388958424,0.0213988562437003,0.0,1.0,0.0,,,,,-61.0,100.0,,0
0.068,0.28,0.62,0.008,0.007,0.0477,0.0073,170.0,21.0,1.0,200.0,250.0,14.0,0.0,0.0,0.0,0.0005,0.5,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.0,391.0,468.0,29.4,77.0,-63.0,100.0,,1
0.074,0.36,1.8,0.008,0.008,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,1.608985508564552,0.1213933622607823,0.2286522642886989,0.1027471760856389,0.0908792579104935,0.0157744153733478,0.0066433140859635,0.0018257985687919,0.0078692306400687,0.0,1.0,0.0,504.0,594.0,26.2,75.0,-20.0,161.0,,1
0.05,0.41,0.92,0.011,0.019,0.045,0.0114,170.0,21.0,1.8,100.0,620.0,1.0,0.02,1.870948135298378,0.51,0.018,0.02,0.0035929926013917,0.007,0.0003135149232422,0.0182653571453614,0.0,1.0,0.0,538.0,626.0,,,,,,1
0.12,0.27,1.46,0.014,0.026,0.0365,0.0077,625.0,72.24,4.4,200.0,0.0,0.0,0.2128340265879234,2.133973269166426,0.48,0.01,0.3,0.0080401562585189,0.007,0.0002970601701333,0.0259465838958361,0.0,1.0,3.0,689.0,689.0,34.0,69.0,-60.0,41.0,,1
0.039,0.28,0.58,0.008,0.012,0.0421,0.0082,170.0,21.0,1.0,150.0,0.0,0.0,1.0086293433815277,2.844853190005045,0.8053054974143343,0.0816576350473198,0.1769299596901322,0.0189186058996539,0.007,0.0021115750942813,0.020082789197849,0.0,1.0,0.0,411.0,475.0,30.6,79.7,-24.0,100.0,,1
0.1,0.28,1.42,0.011,0.024,0.043,0.015,550.0,28.0,3.6,100.0,0.0,0.0,0.09,0.08,0.04,0.01,0.15,0.01,0.015,0.001,0.03,0.0,1.0,1.0,493.0,618.0,18.0,75.0,-6.0,70.0,,1
0.051,0.43,0.76,0.024,0.019,0.041,0.0082,150.0,37.5,1.0,300.0,690.0,3.0,0.2128340265879234,2.8,1.1,0.0803032473871584,0.0830941423361074,0.0059729219396102,0.0137209310900639,0.0009908933019034,0.0078692306400687,0.0,1.0,0.0,614.0,713.0,18.0,67.0,,,241.0,1
0.074,0.27,1.41,0.007,0.006,0.0407,0.007,170.0,21.0,1.0,200.0,0.0,0.0,0.2128340265879234,1.7078966317322393,0.7812810857705148,0.046894914814585,0.0283168423843624,0.0088,0.0047,0.0007733275953057,0.0050826064905189,0.0,1.0,0.0,,,,,-57.0,28.0,,0
