Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2)
0.037,0.3,0.65,0.008,0.012,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,0.0,1.1743656047415318,0.17298648311301487,1.1101490819432096,0.19074660218552453,0.006658470472256213,0.0013990032874725777,0.0007181253939309601,0.007759592119093797,0.0,1.0,0.0,392.0,466.0,31.9,80.6,,,
0.037,0.3,0.65,0.008,0.012,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,0.0,1.1743656047415318,0.43,0.354207046567612,0.5765020807716703,0.006319497684457445,0.020913956069558294,0.0008798225675403286,0.007759592119093797,0.0,1.0,0.0,,,,,-28.0,100.0,
0.037,0.3,0.65,0.008,0.012,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,0.0,0.4098847198253386,0.35146001967445295,0.7324700354876968,0.105,0.0038102827525085693,0.027521654802365042,0.0014356990931693576,0.0062529618651347915,0.0,1.0,0.0,370.0,456.0,35.2,80.6,-38.0,100.0,
0.037,0.31,1.03,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,0.0,1.9500678937403073,0.820639285931015,0.09193720920725316,0.15167052655269675,0.006498470137070507,0.004903108106490004,0.0022503386773530575,0.015435873732947678,0.0,1.0,0.0,413.0,498.0,31.2,80.6,,,
0.037,0.31,1.03,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,0.0,0.08317216227360724,0.8737593066400561,0.7316855081766676,0.0045258779279844785,0.005481459496101184,0.004250863124104732,0.0004843213933281857,0.025628174193818236,0.0,1.0,0.0,,,,,-48.0,100.0,
0.037,0.31,1.03,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,0.0,5.874442101485629,0.775869632536655,0.044111851800770596,0.01295832459323032,0.007337828629208189,0.00029962824939299294,0.0007372088294853088,0.03463861402813132,0.0,1.0,0.0,402.0,490.0,31.0,80.6,-44.0,100.0,
0.044,0.35,1.43,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,0.0,1.1743656047415318,0.35779160077200023,0.4075844700688262,0.4048426316032162,0.010131188583529764,0.01919268814460926,0.0010191603571322024,0.007759592119093797,0.0,1.0,0.0,468.0,551.0,29.4,78.7,,,
0.044,0.35,1.43,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,0.0,3.356986667933531,0.7819228300127439,0.5894811667412919,0.518185197240099,0.005901299131281037,0.007,0.0007372088294853088,0.007456400386523631,0.0,1.0,0.0,,,,,-53.0,100.0,
0.044,0.35,1.43,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,0.0,2.4968248052774973,0.34188948920431794,0.32844777687708354,0.46806503436371216,0.02087211925205098,0.012771702101145097,0.0016283956685671634,0.014310356292569085,0.0,1.0,0.0,436.0,529.0,31.6,78.8,-58.0,100.0,
0.045,0.33,1.85,0.007,0.016,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,0.0,1.6806854650038947,0.7660380572946789,0.27631038553098664,0.105,0.005381515279021256,0.007,0.00011139499683230817,0.015259206699312265,0.0,1.0,0.0,514.0,588.0,28.0,76.8,,,
0.045,0.33,1.85,0.007,0.016,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,0.0,1.1743656047415318,0.23965773848165364,0.4658133647942968,0.4170838114978922,0.005480491983120167,0.007,0.0009138239974682382,0.007759592119093797,0.0,1.0,0.0,,,,,-38.0,100.0,
0.045,0.33,1.85,0.007,0.016,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,0.0,3.6382864179619867,0.6864738272640709,0.6666784238145291,0.105,0.011584739376106157,0.007,0.0015101854605918195,0.01491645382921867,0.0,1.0,0.0,479.0,576.0,27.4,76.9,-40.0,100.0,
0.039,0.32,0.66,0.006,0.011,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,0.53,1.760042282876027,0.5432956903725679,0.43390606138710053,0.169604724719777,0.005842198578502341,0.008791889296688922,0.0011494340909502224,0.025808209329387204,0.0,1.0,0.0,411.0,484.0,32.6,79.3,,,
0.039,0.32,0.66,0.006,0.011,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,0.53,0.7850100924587704,0.9197035119222315,0.47380883283401865,0.38553464700072115,0.0213336052638516,0.01469668673626862,0.0007765435161607576,0.011303118932089018,0.0,1.0,0.0,401.0,475.0,34.2,80.6,,,
0.041,0.33,1.01,0.006,0.011,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,0.49,4.948359926405643,0.5325000330039227,0.22756684010987385,0.105,0.009326405925747554,0.011618590155836401,0.00030702680947754224,0.03768382117821143,0.0,1.0,0.0,464.0,522.0,29.6,77.8,,,
0.041,0.33,1.01,0.006,0.011,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,0.49,2.2530578063207187,0.4529152414901529,0.01,0.4607592242916608,0.011270417350168196,0.016635810152259217,0.00240983632691554,0.016240396767582804,0.0,1.0,0.0,,,,,,,
0.041,0.33,1.01,0.006,0.011,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,0.49,1.1743656047415318,0.43,0.01,0.3103117891428796,0.01140145517418483,0.016597885470489817,0.0007885112871358433,0.007759592119093797,0.0,1.0,0.0,426.0,506.0,31.6,79.7,,,
0.051,0.32,1.4,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,0.47,0.3572390723475316,0.43,0.7342088261536676,0.5705909591998202,0.008248740952719397,0.00430865551808195,0.0005548638371060963,0.007759592119093797,0.0,1.0,0.0,509.0,568.0,28.6,76.9,,,
0.051,0.32,1.4,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,0.47,1.1743656047415318,0.4496478770076258,0.01,0.5264659488958199,0.011879154256883736,0.04053727591785099,0.0008708604071369871,0.007759592119093797,0.0,1.0,0.0,450.0,536.0,28.2,78.8,,,
0.049,0.33,1.85,0.006,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,0.51,1.1743656047415318,0.031468348572004284,0.01,0.31402533175750885,0.0007632409389162231,0.015163966481588997,0.0007372088294853088,0.007759592119093797,0.0,1.0,0.0,547.0,618.0,26.0,74.9,,,
0.049,0.33,1.85,0.006,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,0.51,1.448916426065488,0.18696405186005285,0.17716408341167336,0.105,0.007,0.007,0.00020281303530812625,0.018945835816332614,0.0,1.0,0.0,,,,,,,
0.049,0.33,1.85,0.006,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,0.51,2.6025602314706644,0.7755287561020978,0.01,0.3505092306779416,0.017077902091281252,0.007,0.0015376426572723551,0.03625315651787138,0.0,1.0,0.0,526.0,612.0,26.8,72.9,,,
0.038,0.31,0.63,0.007,0.012,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,1.09,2.6443965877534286,0.43,0.01,0.4144283395565781,0.007,0.007440675651802984,0.0007372088294853088,0.007759592119093797,0.0,1.0,0.0,423.0,497.0,30.6,78.8,,,
0.038,0.31,0.63,0.007,0.012,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,1.09,6.138811365967086,1.0339833537901353,0.01,0.105,0.013244303342111666,0.00015726130161254734,0.001220251998777823,0.023161822851760407,0.0,1.0,0.0,,,,,-38.0,100.0,
0.038,0.31,0.63,0.007,0.012,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,1.09,2.352105835035788,1.5203252478971232,0.01,0.198801814040589,0.019183404197615335,0.007,0.0015389377054418076,0.011586252581104935,0.0,1.0,0.0,411.0,493.0,33.6,79.7,-40.0,100.0,
0.043,0.33,1.0,0.006,0.013,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,1.1,3.0060836164978193,0.4109717109033555,0.01,0.105,0.002025891379857799,0.007,0.0002273263367646371,0.028157824694153993,0.0,1.0,0.0,475.0,541.0,29.6,77.9,,,
0.043,0.33,1.0,0.006,0.013,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,1.1,1.1743656047415318,0.09467506425967256,0.01,0.105,0.0067107523658714,0.022608720521304908,0.0014271230750399762,0.007759592119093797,0.0,1.0,0.0,,,,,-55.0,100.0,
0.043,0.33,1.0,0.006,0.013,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,1.1,1.1743656047415318,0.43,0.4999205832433886,0.2827849192040645,0.007,0.01941009919982465,0.0002885929609433484,0.007759592119093797,0.0,1.0,0.0,443.0,521.0,31.8,77.8,-51.0,100.0,
0.049,0.35,1.37,0.007,0.013,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,1.06,2.0141329857480477,0.4724146684102729,0.01,0.105,0.019022292773028315,0.02929611005300746,0.0017380698404951026,0.022339059486012648,0.0,1.0,0.0,498.0,569.0,28.4,78.8,,,
0.049,0.35,1.37,0.007,0.013,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,1.06,3.7334538194900615,0.7225472461459336,0.01,0.4921587137538421,0.016486467783590947,1.698417935602249e-05,0.0007923254855148455,0.0017863535739901237,0.0,1.0,0.0,,,,,-58.0,100.0,
0.049,0.35,1.37,0.007,0.013,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,1.06,5.28156957190947,0.8604822147238964,1.0832946831983197,0.105,0.016103490611241836,0.017238730969959842,0.0020382655162873406,0.00708536793109665,0.0,1.0,0.0,470.0,557.0,30.2,76.0,-20.0,100.0,
0.053,0.35,1.83,0.007,0.012,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,1.06,3.5564651579489412,0.6055914688651205,0.04918503817587584,0.105,0.014981584727172538,0.028837195372192554,0.0013082793581893478,0.005241694369220413,0.0,1.0,0.0,566.0,641.0,26.4,76.0,,,
0.053,0.35,1.83,0.007,0.012,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,1.06,0.8263494632160012,1.068800258702938,0.11118233558765542,0.17653934575489974,0.007,0.005428614739817886,0.0004390423316205207,0.03119739585377579,0.0,1.0,0.0,,,,,-39.0,100.0,
0.053,0.35,1.83,0.007,0.012,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,1.06,1.1743656047415318,0.2541341350888079,0.13089730279646533,0.31736053158216626,0.018188719189681648,0.02001291637102473,0.0012046104549183925,0.0013862451842746159,0.0,1.0,0.0,521.0,612.0,26.0,74.0,1.0,100.0,
0.041,0.3,0.62,0.007,0.01,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,2.38,3.1083457672844212,0.6485075106418551,0.38368716411353476,0.4148047865952448,0.007510053841815381,0.007283536584615779,0.0006017284572799411,0.017624277362308025,0.0,1.0,0.0,466.0,538.0,30.6,77.8,,,
0.041,0.3,0.62,0.007,0.01,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,2.38,6.3602662924112074,0.7138170151049652,0.01,0.6288427120671747,0.013806836909983872,0.022014292642322027,0.001984160500782884,0.009944975056575302,0.0,1.0,0.0,,,,,-50.0,100.0,
0.041,0.3,0.62,0.007,0.01,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,2.38,0.997734307378294,0.301261216215002,0.10136649704552117,0.35882197085998435,0.007,0.007,0.000403233158608794,0.007759592119093797,0.0,1.0,0.0,431.0,518.0,32.2,76.9,-41.0,100.0,
0.044,0.31,0.96,0.006,0.013,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,2.38,4.904187960609164,0.43,0.007548289004976325,0.4576331890392893,0.007,0.01666031235229113,0.0020151331255978135,0.04689504301375793,0.0,1.0,0.0,489.0,567.0,30.6,76.9,,,
0.044,0.31,0.96,0.006,0.013,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,2.38,6.89421006721789,1.2712366879434103,0.035797999068292896,0.105,0.009422370853544674,0.007238258097692066,0.0011704784859409563,0.03067458366964835,0.0,1.0,0.0,,,,,-59.0,100.0,
0.044,0.31,0.96,0.006,0.013,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,2.38,3.025156063397897,0.151293637146297,0.01,0.105,0.004024103052203821,0.008890510925328948,0.0004041418718877301,0.041354395548869875,0.0,1.0,0.0,481.0,561.0,29.1,76.9,-44.0,100.0,
0.049,0.32,1.41,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,2.32,4.265938085068115,0.43,0.01,0.25679070380815106,0.002379886265305636,0.014124592474676177,0.0008364291908198394,0.03556193576722947,0.0,1.0,0.0,567.0,635.0,23.6,72.7,,,
0.049,0.32,1.41,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,2.32,4.364615885139598,0.1101985436276634,0.5274423435196144,0.105,0.0013534078727142397,0.007972707150527936,0.001090880937085702,0.03330148022825254,0.0,1.0,0.0,,,,,-38.0,100.0,
0.049,0.32,1.41,0.007,0.014,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,2.32,2.7334261514919644,0.43,0.01,0.5904898314871757,0.022691490575111873,0.04126200696783151,0.002088888600902197,0.004843385768458079,0.0,1.0,0.0,530.0,615.0,26.6,73.0,-20.0,100.0,
0.046,0.32,1.81,0.007,0.015,0.0422,0.0083,170.0,21.0,1.0,200.0,250.0,14.0,2.33,9.749934625927054,0.9621929293130936,0.5770519602167326,0.6173575157277573,0.007,0.013539566582789153,0.0008598819888897893,0.028941526413404788,0.0,1.0,0.0,621.0,684.0,23.5,73.9,,,
0.046,0.32,1.81,0.007,0.015,0.0422,0.0083,170.0,21.0,1.0,200.0,0.0,0.0,2.33,0.38483672379388567,0.6189397293106937,0.01,0.105,0.02177144338330269,0.005665364745635573,0.001408145705896245,0.003889446779574503,0.0,1.0,0.0,,,,,-30.0,100.0,
0.046,0.32,1.81,0.007,0.015,0.0422,0.0083,170.0,21.0,1.0,200.0,580.0,2.0,2.33,3.6527397561960826,0.5593979502588582,0.01,0.105,0.015984405936074298,0.024255138192168915,0.0021471504106563375,0.0014151109759341675,0.0,1.0,0.0,574.0,665.0,26.4,70.7,,,
