Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Titanium concentration (%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),AC or DC,Electrode positive or negative,Type of weld,Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2)
0.037,0.3,0.65,0.008,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.0,1.358306689377657,0.8700498999863786,0.018,0.1836071102106993,0.017015774960012515,0.029620325439993204,0.0017385908040584903,0.007869230640068782,0.0,1.0,0.0,392.0,466.0,31.9,80.6,,,
0.037,0.3,0.65,0.008,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.0,2.552641782260497,0.47247042872253364,0.06685994853134875,0.07909136883651892,0.01096729338955054,0.008821275802056609,0.0008253298371387709,0.039882530752171,0.0,1.0,0.0,,,,,-28.0,100.0,
0.037,0.3,0.65,0.008,0.012,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.0,2.670651936888528,0.8620299682331585,0.04755424103084556,0.02522916034052948,0.003943518320965136,0.007,0.00016432376531709628,0.007869230640068782,0.0,1.0,0.0,370.0,456.0,35.2,80.6,-38.0,100.0,
0.037,0.31,1.03,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.0,1.1887762043897425,0.5029503827954327,0.018,0.08309414233610742,0.005495454686699858,0.007,0.000773747400889894,0.003900885817905565,0.0,1.0,0.0,413.0,498.0,31.2,80.6,,,
0.037,0.31,1.03,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.0,2.831596768286817,0.18542945436153307,0.15465638598616357,0.08220439822886479,0.005422450908366514,0.015372896384863503,0.0016575767527644881,0.014822698645479348,0.0,1.0,0.0,,,,,-48.0,100.0,
0.037,0.31,1.03,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.0,4.024309301817642,0.22921392442934874,0.10003678533383675,0.08309414233610742,0.002246749223708964,0.005407427563237278,0.00131790980273258,0.012004519515061474,0.0,1.0,0.0,402.0,490.0,31.0,80.6,-44.0,100.0,
0.044,0.35,1.43,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.0,5.928738950497272,0.45012864830809995,0.15878626120171446,0.08309414233610742,0.013482474769590282,0.006552300180741857,0.0017862626463330635,0.004883384317642837,0.0,1.0,0.0,468.0,551.0,29.4,78.7,,,
0.044,0.35,1.43,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.0,1.747938350332321,0.6438305728520967,0.018,0.00016712559859608997,0.005972921939610263,0.00047264138670986486,0.00046236423521906747,0.011793645422539693,0.0,1.0,0.0,,,,,-53.0,100.0,
0.044,0.35,1.43,0.007,0.014,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.0,1.7034563307755481,0.23671945307105416,0.03134951888996926,0.341084094610793,0.004039383185956022,0.010469786777307028,0.0014063575933360808,0.018412853469753163,0.0,1.0,0.0,436.0,529.0,31.6,78.8,-58.0,100.0,
0.045,0.33,1.85,0.007,0.016,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.0,0.6157584760306268,0.29215293014806176,0.03271778452082917,0.08309414233610742,0.005972921939610263,0.0011033297721074746,0.00044246936038255943,0.007869230640068782,0.0,1.0,0.0,514.0,588.0,28.0,76.8,,,
0.045,0.33,1.85,0.007,0.016,0.0421,0.0082,170.0,21.0,1.0,200.0,0.0,0.0,0.0,3.462843297608702,0.44754597530082985,0.11411845716393423,0.25252790907051126,0.0072288391578844095,0.010771409851205031,0.002242008069237006,0.0348911979676614,0.0,1.0,0.0,,,,,-38.0,100.0,
0.045,0.33,1.85,0.007,0.016,0.0421,0.0082,170.0,21.0,1.0,200.0,580.0,2.0,0.0,0.42623265764807616,0.527410519172415,0.03666013946937773,0.2811364916100531,0.027561810330312762,0.02001777539506567,0.0019132329921741427,0.010222164219479312,0.0,1.0,0.0,479.0,576.0,27.4,76.9,-40.0,100.0,
0.039,0.32,0.66,0.006,0.011,0.0421,0.0082,170.0,21.0,1.0,200.0,250.0,14.0,0.53,1.358306689377657,0.47247042872253364,0.018,0.35421158600084374,0.015340032176937283,0.03627457409266819,0.0013857203981352461,0.008883020522101038,0.0,1.0,0.0,411.0,484.0,32.6,79.3,,,
