Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Oxygen concentration (%),Titanium concentration (%),Nitrogen concentration (%),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Aluminium concentration (%),Boron concentration (%),Niobium concentration (%),Tin concentration (%),Arsenic concentration (%),Antimony concentration (%),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),AC or DC,Electrode positive or negative,Type of weld,Weld ID
0.037,0.3,0.65,0.008,0.012,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,0.0,1.0450855892894928,-1.3325541567091903,-0.011206727384563138,-0.09921779427428648,0.003942298907949098,0.00023610930746935835,0.001427047160788092,-0.006452375655246877,0.0057794073592341635,-0.0010870870174953511,392.0,466.0,31.9,80.6,11.499285818300706,127.48484952924392,251.47018971693132,-52.371036500083164,1.9138927078091346,149.6454925091006,0.0,1,0,Evans-Ni/CMn-1990/1991-0Aaw
0.037,0.3,0.65,0.008,0.012,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,0.0,0.22326974355354245,0.6558776418531698,-0.009271737614402274,-0.23307662443979016,-0.013920521409496112,0.00014782716932560384,0.029402813389948542,-0.005860220703039836,0.011016586376406632,-0.015498320191863221,675.5143781115934,689.4529310554146,24.120223872852314,72.75604395866492,-28.0,100.0,232.8411471741185,-29.49443542643366,47.9811177750272,65.26155557236774,0.0,1,0,Evans-Ni/CMn-1990/1991-0Aawch
0.037,0.3,0.65,0.008,0.012,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,0.0,-6.08301842085055,-0.7292818295110769,-0.17229819827722126,0.1701669020660327,0.019020290396357154,-0.0009386398159495561,-0.04183600567889581,0.0018148585020062074,0.011981042350143202,0.007175061060341586,370.0,456.0,35.2,80.6,-38.0,100.0,148.62080078068286,64.51004484934518,-28.543751512761844,67.41268590877979,0.0,1,0,Evans-Ni/CMn-1990/1991-0Aht
0.037,0.31,1.03,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,0.0,-3.0110993349882396,0.2009750562730398,-0.029668408473171752,0.302717494777241,0.01939086419699869,-0.0003749497717163298,-0.009423033923123814,0.01449471115478893,0.02058724797868279,-0.0010258450573750562,413.0,498.0,31.2,80.6,-27.94254728787412,98.92008349318414,148.3917356637299,79.35078260062512,-0.43809123306308173,25.709515853609492,0.0,1,0,Evans-Ni/CMn-1990/1991-0Baw
0.037,0.31,1.03,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,0.0,-2.7522769211208127,0.9950362708973912,-0.07546414104899454,0.6920992662702398,0.0340130791806994,5.579080249463943e-05,-0.00791562083933711,0.010882689217663506,0.00839868675107299,0.0044968860828483535,629.3428440913855,751.8395361307772,19.199268491832335,60.78905100601348,-48.0,100.0,241.082966368757,32.0,28.0,40.0,0.0,1,0,Evans-Ni/CMn-1990/1991-0Bawch
0.037,0.31,1.03,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,0.0,-1.913263804813451,-0.1095766208761208,-0.08622624363619281,0.07743044107341565,0.009116902307081589,0.0009518755175404414,0.024442154384480642,0.01822958894990349,0.013884860277135837,0.001468607176089392,402.0,490.0,31.0,80.6,-44.0,100.0,166.08458354568577,-41.35980350849483,61.65759461861405,64.46244375899893,0.0,1,0,Evans-Ni/CMn-1990/1991-0Bht
0.044,0.35,1.43,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,0.0,1.990630482600774,-0.19549161011438804,0.1283193689777799,0.2786783569271691,0.0010738025045623698,-0.0001124162702462871,0.03506546738572577,0.011159733331417641,0.007452496546236131,-0.00655354278091039,468.0,551.0,29.4,78.7,-119.1333702181678,-66.53860933725397,269.2784842933368,12.289633767991262,63.479072349624715,28.467280581394398,0.0,1,0,Evans-Ni/CMn-1990/1991-0Caw
0.044,0.35,1.43,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,0.0,0.0,0.0,-0.11564922852948545,0.5913206202638956,0.11853457431858931,-0.43181965098746417,0.010627878822161548,0.00042747131517118354,0.01573740797395165,0.01061244018142604,0.00229854482343363,0.007477611071294101,558.965153762275,707.9527484585029,21.66332776919163,60.53470209248398,-53.0,100.0,211.30582413829347,3.082761744825106,40.814916866200676,40.91192667182429,0.0,1,0,Evans-Ni/CMn-1990/1991-0Cawch
0.044,0.35,1.43,0.007,0.014,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,580.0,2.0,0.0,-1.5688473092525967,1.0956821580419798,-0.036297341872117625,-0.13037802122004233,-0.0009904762995449918,0.0015685391119243583,0.01965668793277474,0.00011233086019285781,0.008390495606865203,-0.0015161939314519372,436.0,529.0,31.6,78.8,-58.0,100.0,208.6205800616878,68.83797489874529,13.51437875570074,16.015806952037867,0.0,1,0,Evans-Ni/CMn-1990/1991-0Cht
0.045,0.33,1.85,0.007,0.016,0.0422,0.0042,0.008,170.0,21.0,1.0,200.0,250.0,14.0,0.0,4.52676398875317,0.24469501082534284,0.11709301152099312,0.43109586340573985,-0.03298971920458044,0.001236949401245699,0.023905819946585062,0.003599376659834062,0.020505355186983952,0.0031538430506887465,514.0,588.0,28.0,76.8,-90.48998638564704,1.6937751563048025,228.80656393430033,66.87779142086661,-43.06817830049668,94.18664386246981,0.0,1,0,Evans-Ni/CMn-1990/1991-0Daw
