Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Cobalt concentration (weight%),Tungsten concentration (weight%),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Tin concentration (ppm),Arsenic concentration (ppm),Antimony concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),50 % FATT,Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),Martensite (%),Ferrite with carbide aggregate (%),Weld ID
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,392.0,466.0,31.9,80.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0Aaw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-28,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0Aawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,370.0,456.0,35.2,80.6,-38,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0Aht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,413.0,498.0,31.2,80.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0Baw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-48,100.0,-1,-1,32.0,28.0,40.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0Bawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,402.0,490.0,31.0,80.6,-44,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0Bht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,468.0,551.0,29.4,78.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0Caw
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,0.0,0.0,-1,-1,-1,-1,-53,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0Cawch
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,580.0,2.0,436.0,529.0,31.6,78.8,-58,100.0,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0Cht
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,200.0,0,250.0,14.0,514.0,588.0,28.0,76.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,Evans-Ni/CMn-1990/1991-0Daw
