Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Cobalt concentration (weight%),Tungsten concentration (weight%),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Tin concentration (ppm),Arsenic concentration (ppm),Antimony concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJ/mm),Interpass temperature (deg C),Type of weld,Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),Hardness (kg/mm2),50 % FATT,Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),Martensite (%),Ferrite with carbide aggregate (%),Weld ID
0.037,0.3,0.65,0.008,0.012,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,392.0,466.0,31.9,80.6,N,N,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0Aaw
0.037,0.3,0.65,0.008,0.012,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-28,100.0,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0Aawch
0.037,0.3,0.65,0.008,0.012,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,370.0,456.0,35.2,80.6,-38,100.0,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0Aht
0.037,0.31,1.03,0.007,0.014,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,413.0,498.0,31.2,80.6,N,N,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0Baw
0.037,0.31,1.03,0.007,0.014,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-48,100.0,N,N,32.0,28.0,40.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0Bawch
0.037,0.31,1.03,0.007,0.014,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,402.0,490.0,31.0,80.6,-44,100.0,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0Bht
0.044,0.35,1.43,0.007,0.014,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,468.0,551.0,29.4,78.7,N,N,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0Caw
0.044,0.35,1.43,0.007,0.014,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-53,100.0,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0Cawch
0.044,0.35,1.43,0.007,0.014,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,436.0,529.0,31.6,78.8,-58,100.0,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0Cht
0.045,0.33,1.85,0.007,0.016,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,514.0,588.0,28.0,76.8,N,N,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0Daw
0.045,0.33,1.85,0.007,0.016,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,0.0,0.0,N,N,N,N,-38,100.0,N,N,13.0,17.0,60.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0Dawch
0.045,0.33,1.85,0.007,0.016,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,479.0,576.0,27.4,76.9,-40,100.0,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0Dht
0.039,0.32,0.66,0.006,0.011,0.53,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,250.0,14.0,411.0,484.0,32.6,79.3,N,N,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0.5Aaw
0.039,0.32,0.66,0.006,0.011,0.53,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,170.0,21.0,DC,+,1.0,200.0,MMA,580.0,2.0,401.0,475.0,34.2,80.6,N,N,N,N,N,N,N,N,N,Evans-Ni/CMn-1990/1991-0.5Aht
